Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
STANTON COMM SCHOOL DISTRICT,Stanton,IA,12553,10643,6648
STARMONT COMM SCHOOL DISTRICT,Arlington,IA,12683,10637,6991
STORM LAKE COMM SCHOOL DISTRICT,Storm Lake,IA,14956,10601,7223
STRATFORD COMM SCHOOL DISTRICT,Stratford,IA,12167,9461,6194
SUMNER-FREDERICKSBURG COMM SCHOOL DISTRICT,Sumner,IA,10847,9729,6289
TIPTON COMM SCHOOL DISTRICT,Tipton,IA,10841,9511,6108
TREYNOR COMM SCHOOL DISTRICT,Treynor,IA,13298,11379,6902
TRI-CENTER COMM SCHOOL DISTRICT,Neola,IA,11682,10254,6211
TRI-COUNTY COMM SCHOOL DISTRICT,Thornburg,IA,11422,9429,6199
TRIPOLI COMM SCHOOL DISTRICT,Tripoli,IA,11403,10096,6693
TURKEY VALLEY COMM SCHOOL DISTRICT,Jackson Junction,IA,14878,12306,7661
TWIN CEDARS COMM SCHOOL DISTRICT,Bussey,IA,11492,10000,6279
TWIN RIVERS COMM SCHOOL DISTRICT,Bode,IA,10142,6553,4105
UNDERWOOD COMM SCHOOL DISTRICT,Underwood,IA,11899,10183,5925
UNION COMM SCHOOL DISTRICT,La Porte City,IA,11411,10457,6489
UNITED COMM SCHOOL DISTRICT,Boone,IA,13954,9571,6471
URBANDALE COMM SCHOOL DISTRICT,Urbandale,IA,13631,11558,7302
VALLEY COMM SCHOOL DISTRICT,Elgin,IA,13699,12191,8407
VAN BUREN COMM SCHOOL DISTRICT,Keosauqua,IA,12806,10675,6682
VAN METER COMM SCHOOL DISTRICT,Van Meter,IA,15981,11087,7136
VILLISCA COMM SCHOOL DISTRICT,Villisca,IA,12753,9913,6742
VINTON-SHELLSBURG COMM SCHOOL DISTRICT,Vinton,IA,12343,10166,6886
WACO COMM SCHOOL DISTRICT,Wayland,IA,14650,10200,7073
WAPELLO COMM SCHOOL DISTRICT,Wapello,IA,12184,10657,7052
WAPSIE VALLEY COMM SCHOOL DISTRICT,Fairbank,IA,10591,9366,6154
WASHINGTON COMM SCHOOL DISTRICT,Washington,IA,11378,9779,6302
WATERLOO COMM SCHOOL DISTRICT,Waterloo,IA,11699,10593,6894
WAUKEE COMM SCHOOL DISTRICT,Waukee,IA,12930,8955,5742
WAVERLY-SHELL ROCK COMM SCHOOL DISTRICT,Waverly,IA,12249,11107,7972
WAYNE COMM SCHOOL DISTRICT,Corydon,IA,15320,10774,7086
WEBSTER CITY COMM SCHOOL DISTRICT,Webster City,IA,12289,11006,6814
WEST BEND-MALLARD COMM SCHOOL DISTRICT,West Bend,IA,11867,9360,5429
WEST BRANCH COMM SCHOOL DISTRICT,West Branch,IA,11867,9770,6007
WEST BURLINGTON IND SCHOOL DISTRICT,West Burlington,IA,16757,14979,9718
WEST CENTRAL COMM SCHOOL DISTRICT,Maynard,IA,35690,11014,7111
WEST CENTRAL VALLEY COMM SCHOOL DISTRICT,Stuart,IA,11046,9042,5780
WEST DELAWARE COUNTY COMM SCHOOL DISTRICT,Manchester,IA,11125,9386,6010
WEST DES MOINES COMM SCHOOL DISTRICT,West  Des Moines,IA,12220,10120,6720
WEST HANCOCK COMM SCHOOL DISTRICT,Britt,IA,10803,9548,6093
WEST HARRISON COMM SCHOOL DISTRICT,Mondamin,IA,13950,11211,6570
WEST LIBERTY COMM SCHOOL DISTRICT,West Liberty,IA,10113,9205,5965
WEST LYON COMM SCHOOL DISTRICT,Inwood,IA,10180,8672,6037
WEST MARSHALL COMM SCHOOL DISTRICT,State Center,IA,10291,8797,5412
