Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
NEWARK CHARTER SCHOOL,Newark,DE,11737,11213,7899
ODYSSEY CHARTER SCHOOL,Wilmington,DE,12202,12128,7494
POLYTECH SCHOOL DISTRICT,Woodside,DE,24576,15614,9229
POSITIVE OUTCOMES CHARTER SCHOOL,Camden,DE,22770,22762,14151
PRESTIGE ACADEMY,Wilmington,DE,13630,13593,7240
PROVIDENCE CREEK ACADEMY CHARTER SCHOOL,Clayton,DE,9988,9551,4471
REACH ACADEMY FOR GIRLS,New Castle,DE,13846,13846,4809
RED CLAY CONSOLIDATED SCHOOL DISTRICT,Wilmington,DE,16735,14216,9281
SEAFORD SCHOOL DISTRICT,Seaford,DE,16017,13899,8256
SMYRNA SCHOOL DISTRICT,Smyrna,DE,12128,11097,7158
SUSSEX ACADEMY,Georgetown,DE,11229,10639,5987
SUSSEX TECHNICAL SCHOOL DISTRICT,Georgetown,DE,18564,14321,8151
WOODBRIDGE SCHOOL DISTRICT,WOODBRIDGE,DE,16816,13795,8492
ALACHUA,GAINESVILLE,FL,9410,8856,4915
BAKER,MACCLENNY,FL,8987,8378,4709
BAY,PANAMA CITY,FL,10078,8347,5392
BRADFORD,STARKE,FL,9948,9325,5400
BREVARD,VIERA,FL,9032,8326,5134
BROWARD,FORT LAUDERDALE,FL,9619,8683,5488
CALHOUN,BLOUNTSTOWN,FL,10069,9159,5162
CHARLOTTE,PORT CHARLOTTE,FL,10604,9357,5211
CITRUS,INVERNESS,FL,9563,8740,5031
CLAY,GREEN COVE SPRINGS,FL,8437,8138,5199
COLLIER,NAPLES,FL,11808,10304,6203
COLUMBIA,LAKE CITY,FL,8574,8231,4731
DADE,MIAMI,FL,10153,8871,5706
DESOTO,ARCADIA,FL,10522,10108,5273
DIXIE,CROSS CITY,FL,10269,9119,4923
DUVAL,JACKSONVILLE,FL,9455,8657,5300
ESCAMBIA,PENSACOLA,FL,10050,8754,5078
FLAGLER,BUNNELL,FL,9632,8430,5106
FRANKLIN,EASTPOINT,FL,11611,10825,6339
GADSDEN,QUINCY,FL,10634,9911,4814
GILCHRIST,TRENTON,FL,10825,10631,5687
GLADES,MOORE HAVEN,FL,19487,9674,6035
GULF,PORT ST JOE,FL,10449,9842,5162
HAMILTON,JASPER,FL,11001,10507,4697
HARDEE,WAUCHULA,FL,9699,9282,5187
HENDRY,LABELLE,FL,9352,8882,5239
HERNANDO,BROOKSVILLE,FL,9063,8609,5078
HIGHLANDS,SEBRING,FL,9537,9058,5133
HILLSBOROUGH,TAMPA,FL,10438,9201,5645
HOLMES,BONIFAY,FL,9157,8839,5108
INDIAN RIVER,VERO BEACH,FL,9911,8636,5199
JACKSON,MARIANNA,FL,9494,8837,4963
JEFFERSON,MONTICELLO,FL,14634,12787,5725
LAFAYETTE,MAYO,FL,8945,8777,4710
LAKE,TAVARES,FL,8860,8124,4813
LEE,FORT MYERS,FL,9805,8909,5390
LEON,TALLAHASSEE,FL,10380,8635,4869
LEVY,BRONSON,FL,10054,9276,5053
LIBERTY,BRISTOL,FL,11177,10426,5833
MADISON,MADISON,FL,12183,10168,5412
MANATEE,BRADENTON,FL,9316,8507,5256
MARION,OCALA,FL,9166,8522,4897
MARTIN,STUART,FL,9954,8739,5042
MONROE,KEY WEST,FL,12742,11415,7288
NASSAU,FERNANDINA BEACH,FL,9388,8408,4750
OKALOOSA,FORT WALTON BEACH,FL,9571,9046,5815
OKEECHOBEE,OKEECHOBEE,FL,9305,8946,5142
ORANGE,ORLANDO,FL,10771,9258,5352
OSCEOLA,KISSIMMEE,FL,8993,8129,4943
PALM BEACH,WEST PALM BEACH,FL,10451,9403,6008
PASCO,LAND O LAKES,FL,9851,8331,4930
PINELLAS,LARGO,FL,10225,9065,5525
POLK,BARTOW,FL,9384,8820,5733
PUTNAM,PALATKA,FL,9725,9358,5187
SANTA ROSA,MILTON,FL,8955,8057,4768
SARASOTA,SARASOTA,FL,12741,10620,6789
SEMINOLE,SANFORD,FL,8921,8121,5099
ST. JOHNS,ST AUGUSTINE,FL,9344,8479,5042
ST. LUCIE,FORT PIERCE,FL,9396,8596,5004
SUMTER,BUSHNELL,FL,9903,9303,6329
SUWANNEE,LIVE OAK,FL,9428,8660,5079
TAYLOR,PERRY,FL,11524,9810,5178
UNION,LAKE BUTLER,FL,8982,8764,5288
VOLUSIA,DELAND,FL,9327,8574,5215
WAKULLA,CRAWFORDVILLE,FL,8815,8396,4524
WALTON,DEFUNIAK SPRINGS,FL,11848,9271,5312
WASHINGTON,CHIPLEY,FL,14076,10228,5583
APPLING COUNTY,Baxley,GA,10762,9945,6082
ATKINSON COUNTY,Pearson,GA,10471,10037,6286
ATLANTA PUBLIC SCHOOLS,Atlanta,GA,17573,13653,7195
BACON COUNTY,Alma,GA,13594,9672,5959
BAKER COUNTY,Newton,GA,8734,8467,3784
BALDWIN COUNTY,Bay Minette,GA,9344,9088,5480
BANKS COUNTY,Homer,GA,10132,9339,5867
BARROW COUNTY,Winder,GA,9744,8640,5557
BARTOW COUNTY,Cartersville,GA,10019,9332,5996
BEN HILL COUNTY,Fitzgerald,GA,9546,9218,5935
BERRIEN COUNTY,Nashville,GA,9137,8898,5685
BIBB COUNTY,Centreville,GA,12357,9832,5508
BLECKLEY COUNTY,Cochran,GA,9235,9036,5514
BRANTLEY COUNTY,Nahunta,GA,9439,9262,5807
BREMEN CITY,Bremen,GA,10703,9467,6046
BROOKS COUNTY,Quitman,GA,10751,10160,5498
BRYAN COUNTY,Pembroke,GA,10446,7283,4618
BUFORD CITY,Buford,GA,13138,10516,6859
BULLOCH COUNTY,Statesboro,GA,8996,8723,5193
BURKE COUNTY,Waynesboro,GA,12630,12237,6761
BUTTS COUNTY,Jackson,GA,9637,8751,5060
CALHOUN CITY,Calhoun,GA,9634,8259,5043
CALHOUN COUNTY,Anniston,GA,12095,11404,5007
CAMDEN COUNTY,Kingsland,GA,9873,9154,5743
CANDLER COUNTY,Metter,GA,9310,8692,5558
CARROLL COUNTY,Carrollton,GA,9319,8757,5395
CARROLLTON CITY,Carrollton,GA,9427,8917,5606
CARTERSVILLE CITY,Cartersville,GA,10011,9602,6073
CATOOSA COUNTY,Ringgold,GA,10145,9591,5933
CHARLTON COUNTY,Folkston,GA,10089,9798,5735
CHATTAHOOCHEE COUNTY,Cusseta,GA,11113,10836,6022
CHATTOOGA COUNTY,Summerville,GA,14979,9129,5609
CHEROKEE COUNTY,Centre,GA,10331,8609,5776
CHICKAMAUGA CITY,Chickamauga,GA,8590,8295,5396
CLARKE COUNTY,Grove Hill,GA,14608,11492,6903
CLAY COUNTY,Ashland,GA,13929,13091,6584
CLAYTON COUNTY,Jonesboro,GA,9311,8788,5239
CLINCH COUNTY,Homerville,GA,11196,9506,5600
COBB COUNTY,Marietta,GA,10503,9144,6020
COFFEE COUNTY,Elba,GA,10075,9731,5969
COLQUITT COUNTY,Moultrie,GA,13375,9112,5551
COLUMBIA COUNTY,Evans,GA,8966,8237,5233
COMMERCE CITY,Commerce,GA,9406,8940,5460
COMMISSION CHARTER SCHOOLS- ATLANTA HEIGHTS CHARTER SCHOOL,Atlanta,GA,9372,9372,3726
COMMISSION CHARTER SCHOOLS- CCAT SCHOOL,Stateboro,GA,9007,9000,6020
COMMISSION CHARTER SCHOOLS- COWETA CHARTER ACADEMY,Senoia,GA,8668,6758,3386
COMMISSION CHARTER SCHOOLS- FULTON LEADERSHIP ACADEMY,East Point,GA,10963,10963,6071
COMMISSION CHARTER SCHOOLS- PATAULA CHARTER ACADEMY,Edison,GA,9605,9482,5668
COOK COUNTY,ADEL,GA,8619,8443,5198
COWETA COUNTY,Newnan,GA,9922,8664,5555
CRAWFORD COUNTY,Roberta,GA,9563,9201,5645
CRISP COUNTY,Cordele,GA,10936,10018,5845
DADE COUNTY,Trenton,GA,10186,9325,5949
DAWSON COUNTY,Dawsonville,GA,12711,11424,6585
DECATUR CITY,Decatur,GA,13716,12593,8000
DECATUR COUNTY,Bainbridge,GA,10426,9420,5722
DEKALB COUNTY,Rainsville,GA,10399,9175,5545
DODGE COUNTY,Eastman,GA,9753,9204,5925
DOOLY COUNTY,Vienna,GA,11018,10424,5731
DOUGHERTY COUNTY,Albany,GA,12414,11319,6476
DOUGLAS COUNTY,Douglasville,GA,10884,8739,5387
DUBLIN CITY,Dublin,GA,11242,10491,5735
EARLY COUNTY,Blakely,GA,10377,9922,6359
ECHOLS COUNTY,Statenville,GA,10758,10436,6387
EFFINGHAM COUNTY,Springfield,GA,9193,8733,5685
ELBERT COUNTY,Elberton,GA,10985,10100,5850
EMANUEL COUNTY,Swainsboro,GA,9251,9052,5593
EVANS COUNTY,Claxton,GA,10480,9243,5342
FANNIN COUNTY,Blue Ridge,GA,12336,11565,6969
FAYETTE COUNTY,Fayette,GA,10606,9072,5998
FLOYD COUNTY,Rome,GA,12126,10217,6220
FORSYTH COUNTY,Cumming,GA,9425,7955,5390
FRANKLIN COUNTY,Russellville,GA,10323,9534,5868
FULTON COUNTY,Atlanta,GA,12846,9569,5730
GAINESVILLE CITY,Gainesville,GA,9167,8807,5485
GILMER COUNTY,Ellijay,GA,11396,9746,6017
GLASCOCK COUNTY,Gibson,GA,10334,10171,5364
GLYNN COUNTY,Brunswick,GA,10575,9845,6319
GORDON COUNTY,Calhoun,GA,9430,8983,5484
GRADY COUNTY,Cairo,GA,8855,8648,5427
GREENE COUNTY,Eutaw,GA,15142,14409,9142
GWINNETT COUNTY,Lawrenceville,GA,10443,9193,5602
HABERSHAM COUNTY,Clarkesville,GA,10279,9741,6117
HALL COUNTY,Gainesville,GA,9210,8933,5749
HANCOCK COUNTY,Sparta,GA,15020,14759,6511
HARALSON COUNTY,Buchanan,GA,10518,9737,6127
HARRIS COUNTY,Hamilton,GA,9457,9240,5328
HART COUNTY,Hartwell,GA,9944,9355,5976
HEARD COUNTY,Franklin,GA,10394,10066,6218
HENRY COUNTY,Abbeville,GA,10021,8605,5505
HOUSTON COUNTY,Dothan,GA,9982,9539,6058
IRWIN COUNTY,Ocilla,GA,9647,9517,5969
JACKSON COUNTY,Scottsboro,GA,10375,8996,5534
JASPER COUNTY,Monticello,GA,9527,8808,4728
JEFF DAVIS COUNTY,Hazlehurst,GA,11012,8640,5132
JEFFERSON CITY,Jefferson,GA,9961,7742,4837
JEFFERSON COUNTY,Birmingham,GA,10168,9507,5696
JENKINS COUNTY,Millen,GA,11736,11240,6330
JOHNSON COUNTY,Wrightsville,GA,10038,9806,5475
JONES COUNTY,Gray,GA,10164,9404,5866
LAMAR COUNTY,Vernon,GA,9863,9556,5571
LANIER COUNTY,Lakeland,GA,10270,10024,5915
LAURENS COUNTY,Dublin,GA,9356,9145,5618
LEE COUNTY,Opelika,GA,8831,8162,4910
LIBERTY COUNTY,Hinesville,GA,10434,9734,5931
LINCOLN COUNTY,Lincolnton,GA,11409,10353,5762
LONG COUNTY,Ludowici,GA,8151,7951,4743
LOWNDES COUNTY,Hayneville,GA,8889,8561,5359
LUMPKIN COUNTY,Dahlonega,GA,9829,9612,5883
MACON COUNTY,Tuskegee,GA,11106,11055,5883
MADISON COUNTY,Huntsville,GA,12060,10552,6580
MARIETTA CITY,Marietta,GA,12574,10786,6617
MARION COUNTY,Hamilton,GA,10429,9323,4866
MCDUFFIE COUNTY,Thomson,GA,10312,9166,5683
MCINTOSH COUNTY,Darien,GA,11572,9987,5652
MERIWETHER COUNTY,Greenville,GA,10829,10493,6227
MILLER COUNTY,Colquitt,GA,11119,10749,5621
MITCHELL COUNTY,Camilla,GA,10868,8662,4992
MONROE COUNTY,Monroeville,GA,11339,10400,5864
MONTGOMERY COUNTY,Montgomery,GA,4920,4867,3143
MORGAN COUNTY,Decatur,GA,11067,9652,6541
MURRAY COUNTY,Chatsworth,GA,8421,8155,4915
MUSCOGEE COUNTY,Columbus,GA,9437,9301,5523
NEWTON COUNTY,Covington,GA,9319,9045,5603
OCONEE COUNTY,Watkinsville,GA,9824,8689,5594
OGLETHORPE COUNTY,Lexington,GA,10935,10432,6171
PAULDING COUNTY,Dallas,GA,9167,8449,5330
PEACH COUNTY,Fort Valley,GA,9116,8977,4903
PELHAM CITY,Pelham,GA,9741,9587,5722
PICKENS COUNTY,Carrollton,GA,11713,10655,6293
PIERCE COUNTY,Blackshear,GA,9631,9064,5745
PIKE COUNTY,Troy,GA,8177,7980,4819
POLK COUNTY,Cedartown,GA,9188,8674,5497
PULASKI COUNTY,Hawkinsville,GA,9547,9264,5437
PUTNAM COUNTY,Eatonton,GA,13220,11839,6701
QUITMAN COUNTY,Georgetown,GA,15228,14944,7584
RABUN COUNTY,Clayton,GA,13361,12768,7800
RANDOLPH COUNTY,Wedowee,GA,11638,11441,5484
RICHMOND COUNTY,Augusta,GA,10945,9261,5423
ROCKDALE COUNTY,Conyers,GA,10904,10176,6101
ROME CITY,Rome,GA,10982,9110,5771
SCHLEY COUNTY,Ellaville,GA,8531,8214,5425
SCREVEN COUNTY,Sylvania,GA,9679,9473,5405
SEMINOLE COUNTY,Donalsonville,GA,10451,9589,5750
SOCIAL CIRCLE CITY,Social Circle,GA,10834,9627,5510
STATE CHARTER SCHOOLS- CHEROKEE CHARTER ACADEMY,Canton,GA,8625,8195,4387
STATE CHARTER SCHOOLS- GEORGIA CONNECTIONS ACADEMY,Duluth,GA,6411,6388,4715
STATE CHARTER SCHOOLS- GEORGIA CYBER ACADEMY,Atlanta,GA,5019,5019,4566
STATE CHARTER SCHOOLS- MOUNTAIN EDUCATION CENTER SCHOOL,Cleveland,GA,7828,7807,4546
STATE CHARTER SCHOOLS- ODYSSEY SCHOOL,Newnan,GA,9463,9217,6508
STATE CHARTER SCHOOLS- PROVOST ACADEMY GEORGIA,Atlanta,GA,6633,6633,3836
STATE CHARTER SCHOOLS- UTOPIAN ACADEMY FOR THE ARTS CHARTER,Riverdale,GA,13732,13391,7430
STEPHENS COUNTY,Toccoa,GA,8944,8691,5408
STEWART COUNTY,Lumpkin,GA,12833,12833,6574
SUMTER COUNTY,Livingston,GA,10525,9649,5503
TALBOT COUNTY,Talbotton,GA,22413,13236,7589
TATTNALL COUNTY,Reidsville,GA,8858,8745,5327
TAYLOR COUNTY,Butler,GA,10338,9891,5656
TELFAIR COUNTY,McRae,GA,12444,9491,5992
TERRELL COUNTY,Dawson,GA,12285,10494,5809
THOMAS COUNTY,Thomasville,GA,10254,9499,5775
THOMASTON-UPSON COUNTY,Thomaston,GA,10099,9731,5698
THOMASVILLE CITY,Thomasville,GA,10699,9793,5739
TIFT COUNTY,Tifton,GA,10292,9474,6178
TOOMBS COUNTY,Lyons,GA,14086,9388,6242
TOWNS COUNTY,Hiawassee,GA,12002,11883,7149
TREUTLEN COUNTY,Soperton,GA,8946,8517,5181
TRION CITY,Trion,GA,9000,8864,5551
TROUP COUNTY,LaGrange,GA,10442,8777,5142
TURNER COUNTY,Ashburn,GA,11860,11705,6765
TWIGGS COUNTY,Jeffersonville,GA,14130,13126,5775
UNION COUNTY,Blairsville,GA,14490,11236,7187
VALDOSTA CITY,Valdosta,GA,10312,9295,5536
VIDALIA CITY,Vidalia,GA,9401,8773,5447
WALKER COUNTY,Jasper,GA,10295,9461,5986
WALTON COUNTY,Monroe,GA,10422,8416,5365
WARE COUNTY,Waycross,GA,10385,9613,6057
WARREN COUNTY,Warrenton,GA,11899,11355,5655
WASHINGTON COUNTY,Chatom,GA,12376,10048,5878
WAYNE COUNTY,Jesup,GA,9341,8991,5457
WEBSTER COUNTY,Preston,GA,10962,10602,6251
WHEELER COUNTY,Alamo,GA,10257,10235,5746
WHITE COUNTY,Cleveland,GA,10805,10247,6297
WHITFIELD COUNTY,Dalton,GA,9650,9180,5403
WILCOX COUNTY,Camden,GA,10154,9922,5798
WILKES COUNTY,WASHINGTON,GA,12056,11496,6896
WILKINSON COUNTY,Irwinton,GA,12299,11717,6191
WORTH COUNTY,Sylvester,GA,9144,9050,5117
HAWAII DEPARTMENT OF EDUCATION,Honolulu,HI,13823,12855,7554
ABERDEEN DISTRICT,ABERDEEN,ID,7907,7628,4050
AMERICAN FALLS JOINT DISTRICT,AMERICAN FALLS,ID,9045,8458,4517
AMERICAN HERITAGE CHARTER SCHOOL INC.,IDAHO FALLS,ID,5396,5335,3412
ANOTHER CHOICE VIRTUAL CHARTER SCHOOL INC.,NAMPA,ID,8583,8095,3339
ARBON ELEMENTARY DISTRICT,ARBON,ID,14700,14250,8700
BASIN SCHOOL DISTRICT,IDAHO CITY,ID,8355,8278,4375
BEAR LAKE COUNTY DISTRICT,PARIS,ID,7172,6871,3944
BLACKFOOT CHARTER COMMUNITY LEARNING CENTER INC.,BLACKFOOT,ID,7356,4459,3369
BLACKFOOT DISTRICT,BLACKFOOT,ID,7041,6788,3949
BLAINE COUNTY DISTRICT,HAILEY,ID,16817,15925,10184
BLISS JOINT DISTRICT,BLISS,ID,13581,13169,7306
BOISE INDEPENDENT DISTRICT,BOISE,ID,8637,8352,5098
BONNEVILLE JOINT DISTRICT,IDAHO FALLS,ID,6214,5702,3251
BOUNDARY COUNTY DISTRICT,BONNERS FERRY,ID,8320,7734,4464
BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,BRUNEAU,ID,12427,11767,7515
BUHL JOINT DISTRICT,BUHL,ID,7068,6723,3935
BUTTE COUNTY JOINT DISTRICT,ARCO,ID,7815,7549,4119
CALDWELL DISTRICT,CALDWELL,ID,6706,6447,3609
CAMAS COUNTY DISTRICT,FAIRFIELD,ID,13494,12818,6942
CAMBRIDGE JOINT DISTRICT,CAMBRIDGE,ID,13929,13478,8044
CASCADE DISTRICT,CASCADE,ID,12018,11325,6661
CASSIA COUNTY JOINT DISTRICT,BURLEY,ID,6337,6199,3646
CASTLEFORD DISTRICT,CASTLEFORD,ID,8171,7975,4771
CHALLIS JOINT DISTRICT,CHALLIS,ID,8910,8677,4396
CHIEF TAHGEE ELEMENTARY ACADEMY INC.,FORT HALL,ID,13367,13011,7911
CLARK COUNTY DISTRICT,DUBOIS,ID,14189,13755,8126
COEUR D'ALENE CHARTER ACADEMY INC.,COEUR 'DALENE,ID,5585,5367,3911
COEUR D'ALENE DISTRICT,COEUR D ALENE,ID,7328,6683,4102
COMPASS PUBLIC CHARTER SCHOOL INC.,MERIDIAN,ID,5951,5312,3674
COTTONWOOD JOINT DISTRICT,COTTONWOOD,ID,10119,9684,6684
COUNCIL DISTRICT,COUNCIL,ID,9617,9609,5904
CULDESAC JOINT DISTRICT,CULDESAC,ID,17103,15371,7948
DIETRICH DISTRICT,DIETRICH,ID,9879,9335,5022
FALCON RIDGE PUBLIC CHARTER SCHOOL INC.,KUNA,ID,5993,5322,2822
FILER DISTRICT,FILER,ID,6962,6387,3836
FIRTH DISTRICT,FIRTH,ID,6655,6396,3917
FREMONT COUNTY JOINT DISTRICT,ST ANTHONY,ID,7507,6770,4266
FRUITLAND DISTRICT,FRUITLAND,ID,6292,5794,4020
GARDEN VALLEY DISTRICT,GARDEN VALLEY,ID,13097,12018,6624
GENESEE JOINT DISTRICT,GENESEE,ID,11292,10495,6085
GLENNS FERRY JOINT DISTRICT,GLENS FERRY,ID,8478,7972,4533
GOODING JOINT DISTRICT,GOODING,ID,6967,6853,3783
GRACE JOINT DISTRICT,GRACE,ID,7851,7218,4109
HAGERMAN JOINT DISTRICT,HAGERMAN,ID,8798,8605,4982
HANSEN DISTRICT,HANSEN,ID,9947,9459,5300
HERITAGE COMMUNITY CHARTER SCHOOL INC.,CALDWELL,ID,5701,5561,2887
HIGHLAND JOINT DISTRICT,CRAIGMONT,ID,13233,12856,7100
HOMEDALE JOINT DISTRICT,HOMEDALE,ID,6394,6131,3757
HORSESHOE BEND SCHOOL DISTRICT,HORSESHOE BEND,ID,9214,8955,4782
IDAHO COLLEGE AND CAREER READINESS ACADEMY INC.,MERIDIAN,ID,5688,5688,3325
IDAHO FALLS DISTRICT,IDAHO FALLS,ID,6246,5737,3636
IDAHO SCIENCE AND TECHNOLOGY CHARTER SCHOOL INC.,BLACKFOOT,ID,6820,6734,3807
IDAHO STEM ACADEMY INC.,BLACKFOOT,ID,18767,14617,8433
IDAHO VIRTUAL ACADEMY INC.,MERIDIAN,ID,5853,5790,4967
IDAHO VIRTUAL EDUCATION PARTNERS INC.,BOISE,ID,5380,5299,3387
IDAHO VIRTUAL HIGH SCHOOL INC.,MOUNTAIN HOME,ID,4230,4209,2630
INSPIRE ACADEMICS INC.,BOISE,ID,4905,4905,3544
ISUCCEED VIRTUAL HIGH SCHOOL INC.,BOISE,ID,5628,5594,3737
JEFFERSON COUNTY JOINT DISTRICT,RIGBY,ID,5494,5129,3179
JEROME JOINT DISTRICT,JEROME,ID,6311,5859,3421
JOINT SCHOOL DISTRICT NO. 2,MERIDIAN,ID,6473,5880,3567
KAMIAH JOINT DISTRICT,KAMIAH,ID,10531,10241,5977
KELLOGG JOINT DISTRICT,KELLOGG,ID,10359,9342,5157
KENDRICK JOINT DISTRICT,KENDRICK,ID,14215,13215,6828
KIMBERLY DISTRICT,KIMBERLY,ID,6620,5728,3117
KOOTENAI DISTRICT,HARRISON,ID,18491,14745,7673
KUNA JOINT DISTRICT,KUNA,ID,6641,6245,3978
LAKE PEND OREILLE SCHOOL DISTRICT,PONDERAY,ID,8702,8470,4685
LAKELAND DISTRICT,RATHDRUM,ID,7432,7225,4290
LAPWAI DISTRICT,LAPWAI,ID,12688,12406,6890
LEGACY PUBLIC CHARTER SCHOOL INC.,NAMPA,ID,4997,4315,3257
LEWISTON INDEPENDENT DISTRICT,LEWISTON,ID,8617,8267,5336
LIBERTY CHARTER SCHOOL INC.,NAMPA,ID,6627,5941,4036
MACKAY JOINT DISTRICT,MACKAY,ID,11168,10701,6880
MADISON DISTRICT,REXBURG,ID,6323,5659,3231
MARSH VALLEY JOINT DISTRICT,ARIMO,ID,7100,6426,3743
MARSING JOINT DISTRICT,MARSING,ID,7522,7312,4348
MCCALL-DONNELLY JOINT SCHOOL DISTRICT,MCCALL,ID,13338,11804,6673
MEADOWS VALLEY DISTRICT,NEW MEADOWS,ID,11586,11127,7038
MELBA JOINT DISTRICT,MELBA,ID,6192,6012,3545
MIDDLETON DISTRICT,MIDDLETON,ID,6592,6011,3504
MIDVALE DISTRICT,MIDVALE,ID,11583,11561,7856
MINIDOKA COUNTY JOINT DISTRICT,RUPERT,ID,6793,6433,3632
MONTICELLO MONTESSORI CHARTER SCHOOL INC.,AMMON,ID,4685,4203,2685
MOSCOW DISTRICT,MOSCOW,ID,11323,8965,5328
MOUNTAIN HOME DISTRICT,MOUNTAIN HOME,ID,6694,6610,3762
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN  VIEW,ID,10583,10017,5377
MULLAN DISTRICT,MULLAN,ID,19333,19009,11963
MURTAUGH JOINT DISTRICT,MURTAUGH,ID,10169,8815,5300
NAMPA SCHOOL DISTRICT,NAMPA,ID,6457,5982,3508
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH,ID,6985,6661,3923
NEZPERCE JOINT DISTRICT,NEZPERCE,ID,19511,16198,9573
NORTH GEM DISTRICT,BANCROFT,ID,10366,9890,6162
NORTH IDAHO STEM CHARTER ACADEMY INC.,RATHDRUM,ID,4023,3563,2645
NORTH STAR CHARTER SCHOOL INC.,EAGLE,ID,5077,4570,3233
NORTH VALLEY ACADEMY INC.,GOODING,ID,6653,6529,3571
NOTUS DISTRICT,CALDWELL,ID,8439,7944,5077
ONEIDA COUNTY DISTRICT,MALAD CITY,ID,6422,6104,3884
OROFINO JOINT DISTRICT,OROFINO,ID,12223,11520,6604
PALOUSE PRAIRIE EDUCATIONAL ORGANIZATION INC.,MOSCOW,ID,6285,6115,4048
PARMA DISTRICT,PARMA,ID,7565,7211,3917
PAYETTE JOINT DISTRICT,PAYETTE,ID,6755,6567,3734
PLEASANT VALLEY ELEMENTARY DISTRICT,JORDAN VALLEY,OR,39167,38000,24833
PLUMMER-WORLEY JOINT DISTRICT,PLUMMER,ID,12098,11698,5040
POCATELLO DISTRICT,POCATELLO,ID,6638,6256,3911
POST FALLS DISTRICT,POST FALLS,ID,6471,6286,4224
POTLATCH DISTRICT,POTLATCH,ID,9431,9221,5452
PRAIRIE ELEMENTARY DISTRICT,PRAIRIE,ID,23333,23333,14833
PRESTON JOINT DISTRICT,PRESTON,ID,6136,5701,3747
RICHFIELD DISTRICT,RICHFIELD,ID,9814,9045,5337
RIRIE JOINT DISTRICT,RIRIE,ID,7124,6603,3814
ROCKLAND DISTRICT,ROCKLAND,ID,10440,10065,6571
ROLLING HILLS PUBLIC CHARTER SCHOOL INC.,BOISE,ID,8607,8365,6583
SALMON DISTRICT,SALMON,ID,8416,7694,5071
SANDPOINT CHARTER SCHOOL INC.,SANDPOINT,ID,13344,11796,5003
SHELLEY JOINT DISTRICT,SHELLEY,ID,6089,5622,3532
SHOSHONE JOINT DISTRICT,SHOSHONE,ID,7841,7705,4728
SNAKE RIVER DISTRICT,BLACKFOOT,ID,6964,6739,3701
SODA SPRINGS JOINT DISTRICT,SODA SPRINGS,ID,8034,7512,4599
SOUTH LEMHI DISTRICT,LEADORE,ID,16545,15739,9727
ST MARIES JOINT DISTRICT,ST MARIES,ID,8789,8696,4961
SUGAR-SALEM JOINT DISTRICT,SUGAR CITY,ID,5909,5695,3681
SYRINGA MOUNTAIN SCHOOL INC.,HAILEY,ID,10612,7744,5101
TAYLOR'S CROSSING PUBLIC CHARTER SCHOOL INC.,IDAHO FALLS,ID,6326,5407,3493
TETON COUNTY DISTRICT,DRIGGS,ID,7846,7399,4301
THE ACADEMY INC.,CHUBBUCK,ID,5308,5246,3554
THE KOOTENAI BRIDGE ACADEMY INC.,COEUR D'ALENE,ID,3529,3419,2040
THE SAGE INTERNATIONAL SCHOOL OF BOISE A PUBLIC CHARTER SCH,BOISE,ID,6121,6118,3835
THE VILLAGE CHARTER SCHOOL INC.,BOISE,ID,5167,5153,3263
THREE CREEK JOINT ELEMENTARY DISTRICT,ROGERSON,ID,14727,13636,7818
TROY SCHOOL DISTRICT,TROY,ID,11570,10760,6057
TWIN FALLS DISTRICT,TWIN FALLS,ID,7625,6845,3453
UPPER CARMEN PUBLIC CHARTER SCHOOL INC.,CARMEN,ID,7460,7310,5425
VALLEY DISTRICT,HAZELTON,ID,8207,7313,4866
VALLIVUE SCHOOL DISTRICT,CALDWELL,ID,6931,6239,3700
VICTORY CHARTER SCHOOL INC.,NAMPA,ID,6100,5301,3472
VISION CHARTER SCHOOL INC.,CALDWELL,ID,5541,5255,3661
WALLACE DISTRICT,WALLACE,ID,11023,10473,5881
WEISER DISTRICT,WEISER,ID,6731,6583,3956
WENDELL DISTRICT,WENDELL,ID,6307,5909,3588
WEST BONNER COUNTY DISTRICT,PRIEST RIVER,ID,9500,9281,4819
WEST JEFFERSON DISTRICT,TERRETON,ID,8237,7758,4418
WEST SIDE JOINT DISTRICT,DAYTON,ID,6599,6341,3377
WHITE PINE CHARTER SCHOOL INC.,AMMON,ID,5405,5029,3352
WHITEPINE JOINT SCHOOL DISTRICT,DEARY,ID,14005,13687,7402
WILDER DISTRICT,WILDER,ID,8763,7993,4519
XAVIER CHARTER SCHOOL INC.,TWIN FALLS,ID,4466,4377,2436
A-C CENTRAL CUSD 262,Ashland,IL,10941,9660,4720
ABINGDON-AVON CUSD 276,Abingdon,IL,9607,8278,4617
ADDISON SD 4,Addison,IL,12367,10247,6453
ADLAI E STEVENSON HSD 125,Lincolnshire,IL,27205,21086,12925
AKIN CCSD 91,Akin,IL,15459,14551,8653
ALBERS SD 63,Albers,IL,9178,8387,5414
ALDEN HEBRON SD 19,Hebron,IL,15092,14393,7996
